RelTime(mins),Distance(mi),Depth(km),Mag
39,5951.61,10.0,5.0
95,1265.57,5.0,3.1
99,5262.79,11.94,5.5
119,6277.51,27.23,5.0
200,1813.25,0.2,3.4
205,3512.17,24.0,2.7
274,4003.32,56.61,4.9
329,459.04,11.09,2.54
359,5629.1,106.6,4.5
413,2322.75,56.0,2.8
500,269.53,3.5,2.7
531,5858.37,25.12,5.4
548,3521.19,25.0,3.2
624,2329.54,21.25,4.4
625,1263.56,8.12,2.5
671,3415.28,10.0,2.5
674,3457.08,62.0,2.5
680,370.87,32.0,2.7
756,3514.57,24.0,2.9
803,8099.56,117.63,4.6
853,3163.79,10.0,4.5
877,2717.0,8.6,3.7
877,7491.22,34.93,5.0
888,2310.89,115.9,2.6
941,7698.19,214.78,4.6
974,190.85,7.27,3.09
987,8077.82,32.68,4.7
1087,2348.0,131.5,2.6
1108,2313.36,110.1,3.4
1112,275.71,9.5,2.9
1115,1268.3,2.01,2.5
1129,6022.0,58.74,5.0
1194,5665.32,391.24,4.6
1199,2418.95,5.67,2.57
1277,6696.08,75.26,4.3
1349,1263.58,8.03,2.6
1361,1243.13,3.21,2.6
1397,8374.39,72.27,6.2
1645,4178.44,146.45,4.2
1659,123.88,8.06,2.51
1694,6274.99,48.25,4.9
1925,6026.99,42.8,4.7
1969,2633.41,15.3,2.7
2046,273.57,8.2,2.8
2059,3385.48,79.0,3.1
2217,5628.45,43.59,4.4
2236,5119.08,119.03,4.6
2247,2331.01,34.8,3.0
2453,276.52,7.3,2.5
2485,2294.13,52.4,3.0
2485,2293.83,65.1,3.1
2487,2396.21,14.0,2.9
2567,6693.38,20.56,4.4
2593,6692.7,24.17,5.2
2651,2262.27,0.1,3.2
2674,172.04,10.05,2.76
2725,278.52,6.8,2.6
2756,6050.98,15.64,4.5
2776,2127.97,61.33,4.6
2815,277.41,8.4,2.8
2838,3388.56,4.0,2.5
2868,277.98,7.6,3.7
3107,273.7,6.0,2.8
3110,171.82,10.91,2.56
3111,171.87,10.92,3.92
3199,274.57,9.3,3.7
3286,276.49,7.6,2.8
3307,271.97,10.2,3.5
3312,2405.29,10.0,4.7
3323,6779.39,104.79,5.3
3329,276.1,7.6,2.6
3358,275.14,8.1,2.7
3361,5745.07,207.16,4.8
3397,701.67,-1.59,2.56
3414,5318.89,10.0,4.7
3429,5326.34,10.0,5.9
3433,275.82,5.8,2.6
3436,278.6,9.3,3.4
3449,278.44,8.4,4.1
3450,278.51,9.8,2.8
3463,2365.91,85.0,3.2
3470,276.66,0.0,2.5
3482,275.66,8.3,3.1
3505,2386.72,5.2,2.5
3511,275.21,6.3,2.6
3531,275.61,2.9,2.5
3537,276.99,7.6,2.5
3544,3393.15,26.0,2.6
3556,275.88,6.6,2.8
3583,273.96,6.9,3.1
3591,277.8,9.2,2.9
3593,274.27,9.3,3.0
3594,278.76,8.5,2.5
3595,2083.96,9.6,3.2
3602,277.04,9.1,2.8
3610,275.55,9.3,2.9
3614,277.26,8.1,3.0
3624,274.47,7.5,3.2
3625,278.68,8.6,3.1
3628,274.32,8.4,3.0
3629,278.54,10.4,2.8
3634,276.85,8.4,5.5
3636,277.29,9.6,2.8
3639,276.28,9.1,3.2
3650,275.67,9.1,3.8
3657,277.58,10.2,2.6
3659,277.67,10.1,3.5
3665,277.56,8.1,2.7
3666,277.19,10.1,2.5
3668,278.11,9.4,2.8
3669,3497.71,60.0,2.7
3671,276.64,7.8,2.6
3678,275.99,5.5,3.7
3681,277.52,9.3,4.0
3685,277.76,12.0,5.7
3690,276.56,8.2,5.7
3713,258.81,9.16,2.79
3750,2294.94,29.1,3.0
3751,2216.5,77.8,3.4
3882,3556.78,141.51,4.7
3933,1185.98,11.17,3.2
4021,4766.2,66.65,4.8
4121,4962.64,108.34,4.5
4227,6528.21,80.99,5.6
4269,6259.5,24.93,5.3
4302,2213.06,12.3,3.1
4314,2393.18,10.46,3.27
4456,6986.35,12.5,4.9
4543,8363.06,51.71,5.4
4676,825.74,10.0,4.3
4702,6263.23,10.0,5.1
4715,2367.57,6.4,3.3
4717,2485.0,35.0,4.6
4726,190.39,6.74,3.15
4753,8163.11,205.97,4.4
4780,6078.75,36.12,4.8
4784,2466.08,10.0,4.3
4866,8126.11,10.0,4.6
4881,8122.97,12.71,4.4
4929,6757.19,13.18,4.5
4945,5042.89,114.0,4.3
4969,54.45,14.81,3.29
5061,4452.95,41.88,4.6
5078,5097.32,258.08,4.4
5255,2363.58,0.0,2.5
5401,2265.5,47.4,2.8
5401,2339.33,78.3,3.5
5477,6011.47,41.51,5.4
5582,6070.27,22.76,4.3
5601,2023.67,3.3,2.8
5610,7131.86,10.0,4.9
5628,2022.11,10.8,4.0
5657,2381.24,114.7,2.7
5681,3172.26,4.9,3.0
5771,7488.66,34.24,4.6
5791,2618.02,23.6,3.4
5920,6245.6,22.17,4.7
5963,8910.75,76.97,4.9
5964,5655.27,127.4,4.3
5993,2411.13,2.74,2.63
6022,7902.51,104.09,4.2
6068,7396.36,35.0,4.5
6105,6050.18,16.12,4.3
6149,2272.79,51.9,2.5
6149,5504.69,102.05,4.3
6208,151.4,3.22,2.53
6242,2411.09,2.79,2.5
6295,3067.64,45.0,2.7
6328,3152.11,61.1,2.5
6413,3408.58,13.0,2.5
6497,259.04,9.46,2.57
6672,5264.1,10.0,4.7
6693,757.0,2.2,2.9
6779,2817.19,10.0,4.8
6800,2295.33,84.4,2.9
6860,5751.95,187.88,4.5
6929,2409.0,1.66,2.63
6939,2570.12,98.4,3.1
6948,2368.4,40.6,2.7
6964,197.21,5.02,2.87
6965,6264.69,10.0,4.5
6984,7002.06,10.0,5.2
6994,5418.36,595.21,4.4
7004,5348.15,28.66,4.4
7018,5917.77,35.26,4.6
7024,6063.13,22.0,4.1
7033,2393.89,1.61,2.51
7055,6056.51,11.48,4.2
7100,5094.93,19.19,4.4
7122,5283.7,210.59,4.1
7133,6064.35,5.71,5.2
7161,3152.59,27.3,2.9
7192,6068.75,10.92,4.1
7275,2042.1,10.3,3.2
7297,916.22,14.9,2.74
7452,6205.0,117.11,4.6
7540,6058.32,14.7,4.1
7547,6072.07,16.88,4.1
7554,7457.4,130.39,4.4
7566,6064.58,14.77,4.4
7586,6060.69,18.88,4.0
7591,6063.03,23.51,4.3
7617,3333.36,62.0,3.4
7635,6071.0,16.57,5.6
7645,6083.2,35.15,7.6
7666,5020.13,102.53,5.2
7671,2296.15,73.8,2.5
7680,7021.94,27.39,4.2
7795,3318.11,10.0,3.5
7803,3239.17,135.7,2.8
7812,5187.73,188.91,4.3
7862,2537.5,51.0,2.6
8003,5307.49,10.0,4.3
8027,7306.27,32.56,4.6
8046,4518.31,35.0,4.6
8161,2336.85,130.6,2.5
8261,2857.79,39.7,3.3
8296,4401.89,78.92,4.7
8368,2375.38,88.6,2.7
8422,3496.51,32.61,4.4
8494,78.09,-0.17,2.75
8533,6263.2,10.0,5.0
8541,7357.75,10.0,4.9
8550,1243.6,1.34,3.0
8624,6258.24,20.21,4.9
8664,5259.02,43.47,4.3
8694,1242.32,4.65,2.5
8721,7322.44,10.0,4.7
8769,12067.81,10.0,4.9
8795,2679.95,26.72,4.6
8988,2304.89,102.3,3.4
9092,4.08,10.27,3.12
9170,2327.52,54.8,2.9
9217,5728.54,48.35,5.2
9226,6266.3,10.0,4.7
9257,5727.8,39.25,5.3
9264,2743.0,14.1,2.5
9337,5725.22,46.26,4.7
9367,4997.05,176.64,4.4
9386,5264.33,44.73,4.7
9403,2281.6,71.8,2.6
9425,3505.79,24.0,3.0
9487,5678.24,96.13,4.2
9623,2236.13,12.0,3.5
9684,6270.09,10.0,4.7
9699,1291.0,5.22,3.5
9709,6238.55,32.35,5.8
9723,2556.84,14.71,4.1
9765,4226.21,439.48,4.1
9795,2289.56,27.7,2.5
9803,1177.67,2.06,2.8
9809,3257.72,10.0,4.2
9855,6234.62,29.34,5.8
9856,2420.3,35.0,4.6
9897,5426.77,70.6,4.0
9898,7152.84,74.08,4.8
9920,6255.22,61.34,4.9
9938,6261.26,21.99,4.8
9968,6515.65,16.05,4.3
10035,6273.63,9.11,5.0
10052,7608.4,97.01,4.4
10058,1177.36,3.45,2.6
10076,1175.99,5.0,2.9
10097,1178.83,5.0,3.3
10107,1177.41,5.21,2.5
10142,1176.92,5.0,3.5
10164,5964.22,76.68,5.1
10199,7151.04,101.41,4.4
10206,2618.25,16.9,3.0
10216,846.24,4.83,4.0
10232,7690.77,73.64,5.0
10291,7155.69,48.41,4.8
10301,2340.08,138.4,2.9
10321,2378.37,97.2,2.7
10332,7157.98,47.83,4.8
10343,5262.07,7.36,5.1
10418,7156.63,61.16,5.0
10466,2449.24,139.0,3.2
10493,3508.59,55.0,3.2
10519,6263.68,23.44,5.0
10524,2292.0,94.8,4.2
10579,3515.69,17.0,3.1
10655,614.1,0.57,2.53
10713,747.31,10.0,4.3
10741,6023.19,35.37,4.8
10829,3202.84,14.7,2.6
10984,2380.71,86.2,2.5
11127,3487.49,6.0,2.9
11164,3579.65,10.0,4.3
