time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-12-30T21:08:32.930Z,13.259,145.997,10,5,mb,,68,1.146,0.8,us,us10007ntq,2016-12-30T21:26:55.040Z,"123km ESE of Yigo Village, Guam",earthquake,4.3,1.5,0.071,64,reviewed,us,us
2016-12-30T20:12:45.510Z,36.2636,-97.3541,5,3.1,mb_lg,,59,0.096,0.08,us,us10007ntg,2016-12-30T21:04:27.257Z,"6km WSW of Perry, Oklahoma",earthquake,0.9,1.8,0.063,65,reviewed,us,us
2016-12-30T20:08:27.620Z,37.3973,141.4103,11.94,5.5,mb,,97,0.681,0.91,us,us10007ntd,2016-12-30T21:34:49.275Z,"37km ESE of Namie, Japan",earthquake,4.5,2.2,0.029,428,reviewed,us,us
2016-12-30T19:48:41.530Z,-5.3615,152.9771,27.23,5,mb,,119,7.029,0.62,us,us10007nt8,2016-12-30T20:06:20.040Z,"99km S of Taron, Papua New Guinea",earthquake,11.1,6.5,0.074,58,reviewed,us,us
2016-12-30T18:27:10.434Z,58.6703,-134.7745,0.2,3.4,ml,,,,0.43,ak,ak14853757,2016-12-30T18:48:49.801Z,"45km NNW of Juneau, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2016-12-30T18:22:32.000Z,19.0925,-64.7372,24,2.7,Md,3,338.4,0.93514621,0.2,pr,pr16365004,2016-12-30T21:17:00.007Z,"75km N of Road Town, British Virgin Islands",earthquake,3.4,18.2,0,2,reviewed,pr,pr
2016-12-30T17:13:22.430Z,52.8748,159.8018,56.61,4.9,mb,,119,0.712,1.12,us,us10007nsi,2016-12-30T17:45:58.065Z,"79km ESE of Petropavlovsk-Kamchatskiy, Russia",earthquake,8,6.6,0.045,152,reviewed,us,us
2016-12-30T16:18:24.000Z,38.0556667,-112.8093333,11.09,2.54,ml,24,55,0.1566,0.18,uu,uu60178442,2016-12-30T20:31:58.540Z,"23km N of Parowan, Utah",earthquake,0.38,0.84,0.05,5,reviewed,uu,uu
2016-12-30T15:48:24.520Z,-31.6145,-68.5888,106.6,4.5,mwr,,51,0.106,1.17,us,us10007ns3,2016-12-30T17:38:10.596Z,"7km N of Pocito, Argentina",earthquake,6.8,5.1,0.048,42,reviewed,us,us
2016-12-30T14:54:44.892Z,61.3822,-151.1869,56,2.8,ml,,,,0.63,ak,ak14852544,2016-12-30T15:12:15.677Z,"67km WSW of Big Lake, Alaska",earthquake,,0.5,,,automatic,ak,ak
2016-12-30T13:27:56.010Z,38.2968,-119.1225,3.5,2.7,ml,32,136.23,0.633,,nn,nn00571484,2016-12-30T13:41:02.966Z,"10km ENE of Bridgeport, California",earthquake,,,,,automatic,nn,nn
2016-12-30T12:56:13.690Z,-30.5957,-177.7777,25.12,5.4,mb,,59,7.669,0.96,us,us10007nrl,2016-12-30T13:48:45.040Z,"141km NE of L'Esperance Rock, New Zealand",earthquake,9.7,3.6,0.043,180,reviewed,us,us
2016-12-30T12:39:39.800Z,19.2094,-64.5105,25,3.2,Md,4,338.4,1.15703009,0.31,pr,pr16365002,2016-12-30T15:42:08.291Z,"88km N of Road Town, British Virgin Islands",earthquake,6.8,27,0,3,reviewed,pr,pr
2016-12-30T11:23:07.910Z,16.2416,-87.9808,21.25,4.4,mb,,40,1.928,1.4,us,us10007nrb,2016-12-30T14:03:24.644Z,"42km NNW of Travesia, Honduras",earthquake,3.6,6.6,0.103,27,reviewed,us,us
2016-12-30T11:22:01.960Z,35.6737,-97.4115,8.12,2.5,mb_lg,,28,0.092,0.37,us,us10007nr7,2016-12-30T20:26:59.639Z,"6km ENE of Edmond, Oklahoma",earthquake,0.6,4.3,0.109,22,reviewed,us,us
2016-12-30T10:36:57.400Z,19.0746,-66.4465,10,2.5,Md,4,291.6,0.78063598,0.2,pr,pr16365001,2016-12-30T12:00:13.996Z,"67km N of Tierras Nuevas Poniente, Puerto Rico",earthquake,6.3,8.2,0,3,reviewed,pr,pr
2016-12-30T10:33:26.000Z,18.3589,-66.1396,62,2.5,Md,4,216,0.28117268,0.15,pr,pr16365000,2016-12-30T11:39:30.633Z,"3km W of Guaynabo, Puerto Rico",earthquake,2.1,1.5,0,4,reviewed,pr,pr
2016-12-30T10:27:04.360Z,38.9435,-116.0888,32,2.7,ml,33,175.48,0.692,,nn,nn00571451,2016-12-30T10:30:32.376Z,"57km WNW of Currant, Nevada",earthquake,,,,,automatic,nn,nn
2016-12-30T09:11:03.200Z,19.1385,-64.668,24,2.9,Md,5,334.8,1.01060469,0.18,pr,pr16365003,2016-12-30T15:43:28.533Z,"80km N of Road Town, British Virgin Islands",earthquake,2.4,17.7,0,4,reviewed,pr,pr
2016-12-30T08:24:53.610Z,-9.2273,123.5983,117.63,4.6,mb,,60,0.843,0.76,us,us10007nqa,2016-12-30T08:43:23.040Z,"45km NNW of Naisano Dua, Indonesia",earthquake,4.3,7.4,0.117,22,reviewed,us,us
2016-12-30T07:34:47.290Z,3.9492,-82.7497,10,4.5,mb,,176,4.595,1.29,us,us10007nq6,2016-12-30T07:54:22.040Z,"South of Panama",earthquake,10,2,0.157,12,reviewed,us,us
2016-12-30T07:10:53.370Z,66.9018,-157.9261,8.6,3.7,ml,,,,0.66,ak,ak14847815,2016-12-30T10:06:54.563Z,"45km W of Kobuk, Alaska",earthquake,,1.9,,,reviewed,ak,ak
2016-12-30T07:10:04.690Z,1.7788,126.5652,34.93,5,mb,,113,1.281,0.95,us,us10007npz,2016-12-30T07:28:11.040Z,"141km NW of Kota Ternate, Indonesia",earthquake,7.9,5.4,0.071,63,reviewed,us,us
2016-12-30T06:59:25.624Z,59.9774,-152.8914,115.9,2.6,ml,,,,0.43,ak,ak14846664,2016-12-30T07:17:15.105Z,"57km S of Redoubt Volcano, Alaska",earthquake,,0.4,,,automatic,ak,ak
2016-12-30T06:06:34.560Z,0.4298,123.8224,214.78,4.6,mb,,83,1.8,1.03,us,us10007npe,2016-12-30T06:39:08.040Z,"18km WNW of Molibagu, Indonesia",earthquake,9.6,8.8,0.137,16,reviewed,us,us
2016-12-30T05:33:14.270Z,33.5048332,-116.5558319,7.27,3.09,ml,121,23,0.04004,0.21,ci,ci37773784,2016-12-30T21:46:15.231Z,"12km ESE of Anza, CA",earthquake,0.17,0.48,0.215,15,automatic,ci,ci
2016-12-30T05:20:57.800Z,-55.1741,-30.7631,32.68,4.7,mb,,75,3.437,0.87,us,us10007npb,2016-12-30T06:59:56.040Z,"280km NW of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,5.9,5.1,0.094,34,reviewed,us,us
2016-12-30T03:40:24.523Z,61.0942,-152.6034,131.5,2.6,ml,,,,0.52,ak,ak14844317,2016-12-30T03:58:29.002Z,"68km N of Redoubt Volcano, Alaska",earthquake,,0.8,,,automatic,ak,ak
