RelTime(mins),Distance(mi),Depth(km),Mag
170,5266.44,10.79,5.1
190,3535.88,8.0,3.6
249,6545.4,10.0,6.0
261,2607.02,0.1,3.0
289,5267.8,24.12,4.9
305,5265.01,10.0,4.6
356,5091.94,31.3,4.2
361,2271.08,38.5,4.0
371,5264.02,10.0,4.4
398,5256.5,10.0,4.9
409,5271.66,15.84,5.3
420,5270.21,10.0,4.8
438,5260.15,10.0,5.4
449,5262.41,11.35,6.9
465,2327.25,58.6,2.6
552,2306.28,90.6,3.4
558,2602.63,0.0,2.6
566,6020.14,99.12,4.9
641,157.33,2.77,2.61
660,2292.38,50.7,2.6
750,6781.12,10.0,4.2
812,2274.59,45.5,3.0
884,3383.34,11.0,2.8
900,5174.84,89.8,4.0
928,11089.69,10.0,5.1
937,5785.65,11.7,4.8
1003,3443.48,3.0,2.6
1056,2304.05,84.2,2.6
1074,8025.88,24.85,4.9
1129,315.23,15.36,2.67
1135,315.36,15.49,2.95
1192,8450.63,10.0,4.9
1197,8464.96,10.0,4.9
1214,868.79,2.51,2.58
1217,7192.11,64.79,4.9
1246,315.07,16.92,2.77
1286,2254.02,48.7,3.0
1303,3443.53,17.0,2.8
1307,3443.51,18.0,2.7
1353,2313.43,44.2,2.9
1380,4279.0,33.51,4.5
1441,3431.89,133.0,3.4
1470,5055.31,34.67,4.9
1541,5235.5,51.31,4.6
1559,7612.93,10.0,4.7
1580,7570.59,117.92,4.5
1594,315.48,15.32,2.81
1612,3980.94,10.0,4.8
1693,7508.66,199.17,4.3
1695,3549.6,121.0,2.7
1699,5762.67,14.67,4.8
1731,5083.24,138.46,4.0
1743,4216.85,10.0,4.7
1744,2307.8,92.6,4.1
1763,5712.72,452.77,4.5
1775,2378.8,104.9,2.7
1802,3504.82,11.0,2.5
1829,5336.53,17.18,5.0
1891,5624.52,115.79,6.4
2003,2359.46,74.6,2.5
2072,11123.47,10.0,5.0
2158,6703.18,21.28,4.0
2167,2240.89,14.1,3.0
2193,5267.5,197.45,4.6
2217,6703.36,16.73,4.6
2219,11124.91,10.0,5.0
2241,2487.22,53.61,4.4
2262,952.4,10.0,4.3
2267,925.18,10.0,4.9
2276,6743.25,15.88,4.4
2293,2400.09,1.62,2.54
2332,6780.98,14.63,4.2
2359,6700.85,15.54,4.2
2367,3444.11,70.0,2.5
2503,11122.11,13.74,4.6
2534,2167.37,6.8,2.6
2564,154.63,1.46,2.74
2600,11119.52,14.03,5.1
2627,3362.22,8.0,3.3
2736,6771.49,16.91,4.5
2842,2843.6,10.0,4.3
2949,11121.52,10.0,5.1
3020,11110.71,10.0,4.8
3024,6567.41,10.0,4.6
3041,2289.75,25.1,2.6
3041,2330.03,128.2,3.2
3041,2322.41,145.4,2.8
3090,7473.01,10.0,5.1
3093,6465.87,39.39,4.6
3099,4825.0,107.45,4.2
3125,3503.44,6.0,3.0
3142,2827.61,27.68,4.3
3207,7609.73,551.75,4.7
3226,2245.59,25.3,2.6
3340,6701.65,17.92,4.3
3393,3611.26,79.45,4.3
3417,7283.28,57.35,4.7
3467,2947.97,152.11,4.4
3496,5292.54,563.31,4.9
3501,2399.27,29.61,2.54
3513,2286.45,93.2,3.1
3532,7447.22,106.79,5.1
3717,3535.98,24.0,2.9
3821,11120.43,15.32,5.1
3854,2603.24,0.1,2.5
3867,7637.7,166.81,5.1
3886,3798.84,25.06,4.5
3890,1188.74,6.88,2.9
3902,7553.08,10.0,4.7
3906,3489.24,5.0,2.7
3970,6863.28,25.67,4.8
4003,2439.24,0.82,2.69
4023,7008.15,35.73,4.8
4093,3516.91,24.0,3.5
4197,3571.04,130.0,3.0
4227,4842.45,42.97,4.6
4316,3496.95,11.0,2.9
4328,6206.74,153.07,4.7
4377,10532.68,10.0,4.6
4403,1190.63,5.0,2.6
4420,5678.94,40.38,5.2
4450,2416.15,29.73,2.54
4475,7500.24,44.88,5.0
4586,1180.19,5.0,2.7
4592,3531.47,74.0,3.1
4626,6718.57,10.0,4.7
4774,5704.0,10.0,5.5
4803,5263.52,292.01,4.0
4811,3525.64,51.0,2.5
4853,3139.46,90.63,4.3
4858,1187.72,6.002,2.9
4869,2366.72,84.8,3.5
4908,3504.51,54.0,3.1
4932,3516.95,34.0,2.8
4997,5185.75,217.77,4.6
5066,3399.89,47.0,3.0
5073,6785.53,10.0,4.5
5090,1303.76,5.0,2.6
5166,6782.66,9.36,5.1
5176,3513.26,77.0,2.8
5235,1301.86,5.0,2.8
5283,3502.44,63.0,2.7
5300,6537.44,9.7,4.9
5320,6241.65,9.18,4.9
5335,4431.11,57.96,4.2
5547,3532.41,96.0,2.8
5566,6532.68,10.0,5.3
5568,3530.05,96.0,3.3
5614,1177.9,6.21,2.7
5614,7492.39,90.79,4.5
5786,3530.81,60.0,3.0
5798,3529.71,93.0,3.0
5801,3508.49,76.0,2.5
5867,3529.18,75.0,3.2
5889,8811.59,48.8,4.6
5906,3525.83,9.0,2.7
5938,3527.73,18.0,2.5
5948,3403.44,62.0,3.1
5949,5926.84,10.0,4.1
5985,3526.41,13.0,2.6
5987,3534.75,68.0,2.6
6005,2261.78,72.17,4.5
6007,3515.87,39.0,4.3
6049,5290.13,271.3,4.0
6059,3540.67,14.0,3.0
6100,2336.34,49.2,3.1
6140,5517.78,182.84,4.7
6163,7265.42,10.0,5.0
6181,6742.27,10.0,4.8
6240,2421.16,9.77,2.88
6272,3554.31,31.0,2.6
6452,7592.88,107.01,5.5
6548,126.23,3.06,2.62
6599,8214.1,67.93,5.2
6660,2323.38,49.2,2.6
6815,6469.9,126.95,4.8
6863,2322.32,117.0,3.0
6874,3859.74,161.87,4.5
6966,3002.03,10.0,4.6
6971,3437.92,61.0,3.1
6976,3565.69,8.0,2.5
7022,2381.79,111.0,3.9
7079,83.71,2.71,2.59
7093,6559.91,15.61,4.7
7160,3460.37,71.0,2.7
7235,6954.04,24.69,4.6
7279,2301.66,95.4,2.5
7390,2228.01,33.1,3.3
7410,7190.45,51.83,4.9
7444,5674.07,10.0,3.9
7489,6705.14,19.39,4.7
7515,6744.65,15.46,4.9
7529,8005.32,10.0,4.2
7547,1229.49,5.991,2.5
7555,5448.78,10.0,4.1
7590,3529.59,40.0,2.6
7603,1220.35,5.0,2.7
7608,2380.25,0.0,2.7
7619,2359.2,101.2,3.1
7636,3451.33,128.0,3.0
7643,6707.94,22.72,4.6
7664,5311.54,197.34,4.5
7682,5439.12,305.08,5.5
7830,1222.21,5.0,3.4
7946,5388.17,61.26,4.6
7957,5297.08,225.52,4.1
7998,8671.04,85.86,5.7
8005,6770.8,13.05,4.6
8043,1922.11,10.0,4.4
8059,6101.19,10.0,4.6
8077,6104.74,10.42,4.6
8198,5864.3,112.08,4.6
8293,2194.22,28.5,2.9
8307,2356.43,23.4,2.6
8353,6718.81,10.0,4.2
8353,6628.12,20.42,4.6
8367,3506.96,9.0,2.7
8405,2414.95,35.546,3.27
8445,8372.58,10.0,4.8
8467,589.0,4.54,3.24
8534,3531.53,12.0,2.7
8561,2443.1,41.136,3.06
8601,563.62,9.62,2.87
8628,3524.23,15.0,2.9
8787,3471.64,74.0,3.3
8836,2329.21,7.0,2.8
8850,2357.44,2.8,3.0
8878,5133.4,10.0,5.6
8920,831.97,11.2,2.51
8921,6717.51,18.03,4.1
8962,2569.21,20.04,3.9
9014,6705.26,10.0,4.6
9036,3224.89,8.0,2.9
9079,5127.02,120.93,4.1
9155,6696.96,11.81,4.9
9204,6700.28,19.8,4.4
9249,6766.07,10.62,4.5
9282,487.58,20.82,3.11
9294,2498.3,51.46,3.1
9301,2059.8,79.82,4.6
9325,7421.99,194.24,4.2
9356,6738.41,9.43,4.1
9363,6755.71,11.75,4.2
9386,7503.34,190.23,5.3
9433,6703.61,16.45,4.5
9463,509.15,37.41,2.9
9506,6750.48,11.3,4.5
9512,4538.86,172.01,4.4
9516,6706.2,21.94,4.0
9518,8542.95,10.0,5.0
9529,2421.22,9.68,2.87
9574,250.7,2.41,2.95
9578,2803.94,25.5,2.8
9587,8839.87,99.35,4.3
9597,9374.78,10.0,5.2
9613,515.94,3.5,2.6
9624,1304.54,5.0,3.0
9696,2608.99,51.8,3.5
9744,2512.71,187.3,3.1
9806,3223.03,7.3,2.5
9818,2563.75,46.6,2.5
9936,2482.32,25.7,2.7
9939,3229.76,12.2,3.0
9958,6745.15,10.0,5.4
9972,3064.89,24.5,2.6
10004,3227.08,17.2,3.3
10009,3227.42,15.5,3.6
10011,2334.38,157.1,3.6
10011,3224.95,43.86,4.9
10027,1213.7,5.0,2.5
10039,6753.38,21.5,5.1
10093,3063.17,73.1,2.7
10096,6753.64,10.0,5.1
10122,220.99,5.78,2.56
10129,221.03,5.94,2.73
10142,2373.01,41.9,3.3
10209,221.17,5.71,2.83
10218,7863.56,33.97,4.6
10227,1305.51,5.0,2.5
10245,6706.03,11.24,4.8
10254,6705.96,10.0,5.4
10301,7640.35,179.21,4.2
10318,2358.07,11.1,2.7
10364,314.94,14.75,2.53
10398,3223.11,15.8,2.9
10414,2373.52,16.33,5.2
