time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-11-22T01:38:00.150Z,37.1911,141.4776,10.79,5.1,mb,,128,0.87,0.75,us,us10007bar,2016-11-22T01:57:00.040Z,"53km SE of Namie, Japan",earthquake,5.3,4.4,0.036,249,reviewed,us,us
2016-11-22T01:18:36.200Z,18.9241,-64.4466,8,3.6,Md,19,291.6,0.53000602,0.25,pr,pr16327000,2016-11-22T03:17:55.902Z,"58km NNE of Road Town, British Virgin Islands",earthquake,1.2,1.5,0,19,reviewed,pr,pr
2016-11-22T00:19:43.050Z,-40.6101,177.0284,10,6,mwr,,71,0.599,0.96,us,us10007ba5,2016-11-22T02:43:59.733Z,"75km ENE of Castlepoint, New Zealand",earthquake,6.6,1.7,0.086,13,reviewed,us,us
2016-11-22T00:07:49.039Z,68.9005,-146.9656,0.1,3,ml,,,,0.87,ak,ak14378979,2016-11-22T00:25:08.040Z,"104km NNW of Arctic Village, Alaska",earthquake,,0.8,,,automatic,ak,ak
2016-11-21T23:39:54.840Z,37.2272,141.419,24.12,4.9,mb,,87,0.812,0.54,us,us10007b9q,2016-11-22T00:52:10.782Z,"46km SE of Namie, Japan",earthquake,6,4.6,0.036,237,reviewed,us,us
2016-11-21T23:23:17.190Z,37.3847,141.3519,10,4.6,mb,,138,0.658,1.11,us,us10007b9j,2016-11-21T23:48:52.040Z,"33km ESE of Namie, Japan",earthquake,5.6,1.9,0.117,22,reviewed,us,us
2016-11-21T22:32:11.000Z,-22.631,-70.304,31.3,4.2,mb,,,,0.78,us,usa0014exd,2016-11-22T00:18:02.040Z,"60km S of Tocopilla, Chile",earthquake,1.8,6.8,0.374,2,reviewed,guc,us
2016-11-21T22:27:28.397Z,60.7748,-150.2316,38.5,4,ml,,,,0.96,ak,ak14378171,2016-11-22T04:21:42.560Z,"39km NE of Sterling, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2016-11-21T22:17:16.610Z,37.1857,141.5343,10,4.4,mb,,127,0.903,1.2,us,us10007b96,2016-11-21T22:58:11.324Z,"57km SE of Namie, Japan",earthquake,3.4,1.9,0.149,13,reviewed,us,us
2016-11-21T21:50:56.170Z,37.3028,141.6021,10,4.9,mb,,123,0.857,1.2,us,us10007b8y,2016-11-21T22:09:11.040Z,"56km ESE of Namie, Japan",earthquake,5.7,1.9,0.047,143,reviewed,us,us
2016-11-21T21:39:43.020Z,37.308,141.2702,15.84,5.3,mb,,99,0.677,0.85,us,us10007b8r,2016-11-21T22:31:49.232Z,"30km SE of Namie, Japan",earthquake,5.2,3.9,0.034,296,reviewed,us,us
2016-11-21T21:28:25.220Z,37.328,141.2854,10,4.8,mb,,124,0.668,0.98,us,us10007b8n,2016-11-21T22:03:33.050Z,"30km SE of Namie, Japan",earthquake,5,1.9,0.066,71,reviewed,us,us
2016-11-21T21:10:21.670Z,37.3491,141.4858,10,5.4,mb,,124,0.758,1.01,us,us10007b8h,2016-11-21T21:50:49.040Z,"45km ESE of Namie, Japan",earthquake,5.9,1.9,0.071,68,reviewed,us,us
2016-11-21T20:59:49.010Z,37.3917,141.4025,11.35,6.9,mwb,,59,0.681,0.86,us,us10007b88,2016-11-22T04:15:12.391Z,"37km ESE of Namie, Japan",earthquake,4.7,2.2,0.043,53,reviewed,us,us
2016-11-21T20:43:55.856Z,62.9941,-148.3192,58.6,2.6,ml,,,,0.53,ak,ak14377417,2016-11-21T23:08:03.373Z,"54km SE of Cantwell, Alaska",earthquake,,0.6,,,automatic,ak,ak
2016-11-21T19:16:09.790Z,60.3428,-152.2174,90.6,3.4,ml,,,,0.54,ak,ak14377064,2016-11-22T03:18:40.235Z,"33km ESE of Redoubt Volcano, Alaska",earthquake,,0.4,,,automatic,ak,ak
2016-11-21T19:10:39.626Z,68.8563,-146.8377,0,2.6,ml,,,,0.58,ak,ak14377063,2016-11-21T19:20:18.632Z,"97km NNW of Arctic Village, Alaska",earthquake,,0.4,,,automatic,ak,ak
2016-11-21T19:02:42.890Z,13.4425,144.608,99.12,4.9,mb,,55,0.292,0.85,us,us10007b7a,2016-11-22T00:14:48.844Z,"8km NW of Agat Village, Guam",earthquake,9.1,5.7,0.048,137,reviewed,us,us
2016-11-21T17:47:54.160Z,36.1178333,-117.8758333,2.77,2.61,ml,30,56,0.01698,0.13,ci,ci37746480,2016-11-21T20:05:53.426Z,"10km NE of Coso Junction, CA",earthquake,0.16,0.3,0.167,88,reviewed,ci,ci
2016-11-21T17:28:18.094Z,60.998,-150.6726,50.7,2.6,ml,,,,0.55,ak,ak14376691,2016-11-21T17:47:06.047Z,"47km NE of Nikiski, Alaska",earthquake,,0.9,,,automatic,ak,ak
2016-11-21T15:58:10.250Z,-42.558,173.2559,10,4.2,mb,,116,0.44,0.59,us,us10007b5n,2016-11-21T16:38:22.040Z,"38km WSW of Kaikoura, New Zealand",earthquake,3.5,1.9,0.216,6,reviewed,us,us
2016-11-21T14:56:08.743Z,59.8718,-151.7712,45.5,3,ml,,,,0.73,ak,ak14376339,2016-11-21T18:14:52.868Z,"11km NNE of Anchor Point, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2016-11-21T13:44:06.500Z,18.2777,-67.5091,11,2.8,Md,4,248.4,0.10869615,0.18,pr,pr16326009,2016-11-21T16:43:24.206Z,"28km WSW of Rincon, Puerto Rico",earthquake,2,2.5,0,4,reviewed,pr,pr
2016-11-21T13:28:08.000Z,-23.243,-69.084,89.8,4,mb,,,,1.04,us,us10007b55,2016-11-21T18:12:02.785Z,"87km S of Calama, Chile",earthquake,5.2,6,0.298,3,reviewed,guc,us
2016-11-21T13:00:24.290Z,-44.1449,38.3176,10,5.1,mb,,29,15.152,1.01,us,us10007b4z,2016-11-21T14:25:29.040Z,"Prince Edward Islands region",earthquake,10.5,1.7,0.068,70,reviewed,us,us
2016-11-21T12:51:47.590Z,-38.1321,-74.0988,11.7,4.8,mb,,141,0.86,0.86,us,us10007b4u,2016-11-21T13:15:28.040Z,"69km SW of Lebu, Chile",earthquake,5.4,2.8,0.161,12,reviewed,us,us
2016-11-21T11:45:45.900Z,17.837,-66.7195,3,2.6,Md,13,216,0.20391757,0.31,pr,pr16326008,2016-11-21T16:30:37.673Z,"17km S of Tallaboa, Puerto Rico",earthquake,0.8,0.6,0,10,reviewed,pr,pr
2016-11-21T10:52:49.151Z,60.404,-152.0456,84.2,2.6,ml,,,,0.56,ak,ak14375325,2016-11-21T11:11:14.811Z,"39km ESE of Redoubt Volcano, Alaska",earthquake,,0.6,,,automatic,ak,ak
2016-11-21T10:34:07.560Z,-8.7365,124.5413,24.85,4.9,mb,,70,1.047,1.47,us,us10007b3y,2016-11-21T12:12:43.040Z,"56km NW of Atambua, Indonesia",earthquake,6.2,1.2,0.099,32,reviewed,us,us
2016-11-21T09:39:26.710Z,38.6346667,-121.8831667,15.36,2.67,md,69,56,0.1326,0.24,nc,nc72728010,2016-11-22T01:03:05.823Z,"8km ESE of Cottonwood, California",earthquake,0.29,0.2,0.23,84,reviewed,nc,nc
2016-11-21T09:33:35.990Z,38.6355,-121.8868333,15.49,2.95,ml,109,56,0.1313,0.28,nc,nc72728005,2016-11-22T00:50:19.477Z,"7km ESE of Cottonwood, California",earthquake,0.32,0.25,0.132,38,reviewed,nc,nc
2016-11-21T08:36:25.710Z,-53.7507,140.7545,10,4.9,mb,,93,11.689,0.86,us,us10007b3h,2016-11-21T11:16:14.040Z,"West of Macquarie Island",earthquake,13.1,1.9,0.101,31,reviewed,us,us
2016-11-21T08:31:38.280Z,-53.7663,140.3995,10,4.9,mb,,98,11.792,0.94,us,us10007b3d,2016-11-21T16:18:17.040Z,"West of Macquarie Island",earthquake,13.4,1.8,0.106,28,reviewed,us,us
2016-11-21T08:13:59.710Z,44.8036667,-110.487,2.51,2.58,ml,16,140,0.08774,0.17,uu,uu60171307,2016-11-21T16:57:40.440Z,"46km NE of Old Faithful Geyser, Wyoming",earthquake,0.59,1.21,0.343,6,reviewed,uu,uu
2016-11-21T08:11:54.140Z,10.3402,125.299,64.79,4.9,mb,,109,3.261,0.65,us,us10007b3b,2016-11-21T10:57:24.219Z,"5km ESE of Hinundayan, Philippines",earthquake,9.8,6.5,0.08,49,reviewed,us,us
2016-11-21T07:42:20.450Z,38.6193352,-121.9211655,16.92,2.77,md,24,99,0.146,0.31,nc,nc72727965,2016-11-21T09:47:17.510Z,"6km SE of Cottonwood, California",earthquake,0.65,0.59,0.21,20,automatic,nc,nc
2016-11-21T07:02:12.313Z,59.1752,-152.0326,48.7,3,ml,,,,0.49,ak,ak14374368,2016-11-21T17:52:47.523Z,"58km SSW of Homer, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2016-11-21T06:45:02.400Z,17.996,-66.622,17,2.8,Md,18,172.8,0.0880349,0.2,pr,pr16326002,2016-11-21T07:46:17.184Z,"1km SSW of Ponce, Puerto Rico",earthquake,0.4,0.5,0,15,reviewed,pr,pr
